N1;N2;N3;N4;N5;N6;E1;E2;E3;E4;E5;E6;O1;O2;O3;O4;O5;O6;A1;A2;A3;A4;A5;A6;C1;C2;C3;C4;C5;C6
19;13;18;18;17;13;23;15;15;21;23;20;14;18;16;17;15;17;13;14;17;11;19;16;19;23;22;18;21;18
14;6;7;13;11;9;20;21;20;26;22;24;14;25;25;13;20;18;20;16;23;19;22;24;25;26;29;28;26;25
13;17;11;16;23;12;30;23;17;24;22;29;28;28;29;15;22;16;20;16;28;12;18;22;23;19;27;22;24;18
29;22;30;29;9;16;20;8;16;19;13;18;20;11;23;13;14;15;15;10;18;9;7;26;19;25;22;24;17;18
16;15;16;25;21;19;10;11;3;16;7;14;11;24;19;13;4;15;17;21;16;13;28;20;14;22;21;18;14;12
16;17;19;22;18;9;14;14;13;13;25;14;23;21;17;18;12;15;18;24;24;17;19;20;19;15;20;18;17;13
22;12;8;15;14;6;25;8;13;27;15;11;13;15;22;17;16;19;19;27;24;17;29;24;24;20;28;27;24;20
9;10;8;6;18;5;19;27;23;28;27;31;19;19;22;13;17;19;14;19;23;16;18;19;26;23;25;25;29;11
8;4;11;17;7;1;25;5;6;8;6;16;24;14;25;15;11;17;17;NA;28;23;18;23;20;17;28;9;14;25
21;19;13;16;12;17;20;22;16;13;17;19;22;19;23;19;14;21;20;22;22;9;19;20;14;25;23;13;20;19
11;5;9;14;15;8;21;15;16;15;25;16;25;21;20;21;18;26;21;15;12;21;21;25;21;22;15;15;8;23
7;9;10;9;13;4;28;15;13;8;14;24;21;28;31;23;27;28;29;29;25;18;12;31;25;17;28;17;25;16
17;7;20;14;23;3;25;11;17;14;10;19;20;25;28;13;26;21;22;15;23;13;22;30;21;11;26;12;16;23
14;17;15;18;21;7;25;20;24;8;18;17;21;26;23;22;17;20;23;14;21;16;23;25;18;18;21;14;15;8
17;19;11;21;13;5;19;24;24;28;21;23;11;10;23;4;11;15;17;8;12;5;10;20;20;28;29;29;28;22
14;10;14;20;11;15;16;11;4;13;3;NA;15;11;22;14;8;18;15;26;20;18;26;27;17;16;24;15;21;21
20;16;15;19;14;12;21;15;10;12;19;24;26;25;25;14;16;21;19;25;22;17;20;22;18;20;23;20;21;14
14;14;12;17;16;13;14;16;13;18;19;21;20;18;16;11;13;15;19;23;18;12;13;22;19;20;26;17;19;18
