"","vanus","N","E","O","A","C","valmidus"
"193",56,3.25,2.16666666666667,2.58333333333333,2.83333333333333,2.91666666666667,NA
"194",68,3.16666666666667,2.75,2.83333333333333,3.16666666666667,2.91666666666667,NA
"195",68,3,3,2.91666666666667,3.16666666666667,3.16666666666667,"pigem ei"
"196",NA,NA,NA,NA,NA,NA,"pigem ei"
"197",65,3.54545454545455,3.08333333333333,2.91666666666667,3,3.08333333333333,"pigem ei"
"198",52,3.91666666666667,2.33333333333333,3.08333333333333,3.58333333333333,3.83333333333333,"pigem jah"
"199",73,3.8,2.9,2.9,2.7,3.22,"pigem ei"
"200",53,3.66666666666667,3.16666666666667,3.66666666666667,2.66666666666667,3.25,"pigem jah"
"201",71,4.16666666666667,2,2,2.41666666666667,2.58333333333333,"pigem jah"
"202",71,4.16666666666667,2,2,2.41666666666667,2.58333333333333,"pigem jah"
"203",53,3.66666666666667,1.83333333333333,2.5,3.58333333333333,2.66666666666667,"pigem jah"
"204",55,3,2.41666666666667,1.91666666666667,1.58333333333333,1,"pigem ei"
"205",55,3.08333333333333,2.75,4.25,3.08333333333333,1,"pigem ei"
"206",66,3.58333333333333,2.5,3,3.66666666666667,2.83333333333333,"pigem jah"
"207",68,3,3,3,3,3.08333333333333,"pigem ei"
"208",63,3.91666666666667,2.41666666666667,2.91666666666667,3.08333333333333,4.2,"pigem jah"
"209",63,3.91666666666667,2.41666666666667,2.91666666666667,3.08333333333333,4.2,"pigem jah"
"210",70,2,3.58333333333333,3.25,3.83333333333333,4.25,"pigem ei"
"211",68,2.5,2.58333333333333,3.08333333333333,4.08333333333333,4,"pigem ei"
